Serial Number,Date of Entry,Barcode/Accession No,Title,Author,Pages,Publisher,Place,Copyright Date,Department,Price,Discount Percent,Net Cost,Type
1,21-10-2021,PCCOEEC35782,MINNA NO NIHONGO TRANSLATION AND GRAMMATICAL NOTES IN ENGLISH ELEMENTARY 1-1 LESSONS 1-12.,3 A CORPORATION,87,GOYAL PUBLISHERS AND DISTRIBUTORS PVT. LTD.,DELHI,2020,GENERAL,295,25,221.25,GBK
2,21-10-2021,PCCOEEC35781,MINNA NO NIHONGO TRANSLATION AND GRAMMATICAL NOTES IN ENGLISH ELEMENTARY 1-1 LESSONS 1-12.,3 A CORPORATION,87,GOYAL PUBLISHERS AND DISTRIBUTORS PVT. LTD.,DELHI,2020,GENERAL,295,25,221.25,GBK
3,06-11-2012,PCCOEEC23286,PRAKASH WATA.,"AAMTE, PRAKASH",,SAMKALIN PRAKASHAN,PUNE,,GENERAL,,,,DBK
4,15-09-2014,PCCOEEC28006,PRAKASH WATA.,"AAMTE, PRAKASH",155,SAMKALIN PRAKASHAN,PUNE,,GENERAL,,,,DBK
5,12-10-2009,PCCOEEC13741,PRAKASH WATA.,"AAMTE, PRAKASH",155,SAMKALIN PRAKASHAN,PUNE,,GENERAL,,,,DBK
6,23-07-2019,PCCOEEC35217,MARATHI SHABDRATNAKAR.,"AAPTE, VASUDEV GOVIND",661,SARSWATI BOOK COMPANY,,2018,GENERAL,300,10,270,GBK
7,12-10-2009,PCCOEEC13792,"NOT A PENI MORE, NOT A PENI LES.","AARCHAR, JEFRI",203,MEHATA PRAKASHAN,PUNE,,GENERAL,,,,DBK
8,24-11-2008,PCCOEEC11535,IGNITED MINDS.,"ABDUL KALAM, A P J",205,PENGUIN BOOKS INDIA LTD,NEW DELHI,,GENERAL,125,22,98,GBK
9,24-11-2008,PCCOEEC11543,YOU ARE BORN TO BLOSSOM : TAKE MY JOURNEY BEYOND...,"ABDUL KALAM, A P J",175,OCEAN PAPERBACKS,NEW DELHI,,GENERAL,125,22,98,GBK
10,21-09-2002,PCCOEEC05049,IgnIted minds.,"ABDUL KALAM, A P J",205,VIKING PENGWIN,,2002,GENERAL,250,15,213,GBK
11,21-09-2002,PCCOEEC05051,India 2020 : A vision for the new millennium,"ABDUL KALAM, A P J",312,VIKING PENGWIN,,1998,GENERAL,395,15,336,GBK
12,21-09-2002,PCCOEEC05053,WINGS OF FIRE : AN AUTOBIOGRAPHY A P J KALAM WITH ARUN TIWARI,"ABDUL KALAM, A P J",180,UNIVERSITIES PRESS,,2002,GENERAL,200,15,170,GBK
13,21-09-2002,PCCOEEC05048,IgnIted minds.,"ABDUL KALAM, A P J",205,VIKING PENGWIN,,2002,GENERAL,250,15,213,GBK
14,21-09-2002,PCCOEEC05050,India 2020 : A vision for the new millennium,"ABDUL KALAM, A P J",312,VIKING PENGWIN,,1998,GENERAL,395,15,336,GBK
15,21-09-2002,PCCOEEC05052,WINGS OF FIRE : AN AUTOBIOGRAPHY A P J KALAM WITH ARUN TIWARI,"ABDUL KALAM, A P J",180,UNIVERSITIES PRESS,,2002,GENERAL,200,15,170,GBK
16,08-02-2003,PCCOEEC06330,Tejaswi man ( Hindi),"ABDUL KALAM, A P J",126,PRABHAT PRAKASHAN,,2002,GENERAL,125,16,105,GBK
17,08-02-2003,PCCOEEC06331,PRAJAWALIT MANE.,"ABDUL KALAM, A P J",144,CHINAR PUBLISHING,NEW DELHI,2002,GENERAL,150,16,126,GBK
18,16-10-2007,PCCOEEC10764,PERSONALITY DEVELOPMENT : THROUGH POSITIVE THINKING,"ABRAHAM, AMIT",96,SHREE BOOK CENTER.,MUMBAI,,GENERAL,70,23,54,GBK
19,28-01-2016,PCCOEEC32238,GATE - 16 CIVIL ENGINEERING.,ACE ENGINEERING PUBLICATIONS,755,ACE ENGINEERING PUBLICATION,HYDERABAD,2015,GENERAL,600,20,480,HSB
20,28-01-2016,PCCOEEC32239,GATE - 16 CIVIL ENGINEERING.,ACE ENGINEERING PUBLICATIONS,755,ACE ENGINEERING PUBLICATION,HYDERABAD,2015,GENERAL,600,20,480,HSB
21,03-03-2025,PCCOEEC41292,PATHFINDER CDS : COMBINED DEFENCE SERVICE ENTRANCE EXAMINATION.,"AGARWAL, SRISHTI",330,ARIHANT PUBLICATIONS (INDIA) LTD.,NEW DELHI,2024,GENERAL,825,28,594,HSB
22,18-05-2023,PCCOEEC38486,NARENDRA MODI : HARBINGER OF PROSPERITY AND APOSTLE OF WORLD PEACE.,"AGGAREALA, ADISH C.",364,"USA PUBLICATION AND DISTRIBUTION HOUSE, LLC",NEW YORK,2020,GENERAL,,,,DBK
23,03-03-2025,PCCOEEC41287,QUANTITATIVE APTITUDE FOR COMPETITIVE EXAMINITIONS FULLY SOLVED AND UPDATED.,"AGGARWAL, R.S.",809,S. CHAND & COMPANY PVT. LTD.,NEW DELHI,2025,GENERAL,799,28,575.28,HSB
24,03-03-2025,PCCOEEC41288,QUANTITATIVE APTITUDE FOR COMPETITIVE EXAMINITIONS FULLY SOLVED AND UPDATED.,"AGGARWAL, R.S.",809,S. CHAND & COMPANY PVT. LTD.,NEW DELHI,2025,GENERAL,799,28,575.28,HSB
25,03-03-2025,PCCOEEC41289,QUANTITATIVE APTITUDE FOR COMPETITIVE EXAMINITIONS FULLY SOLVED AND UPDATED.,"AGGARWAL, R.S.",809,S. CHAND & COMPANY PVT. LTD.,NEW DELHI,2025,GENERAL,799,28,575.28,HSB
26,03-03-2025,PCCOEEC41290,QUANTITATIVE APTITUDE FOR COMPETITIVE EXAMINITIONS FULLY SOLVED AND UPDATED.,"AGGARWAL, R.S.",809,S. CHAND & COMPANY PVT. LTD.,NEW DELHI,2025,GENERAL,799,28,575.28,HSB
27,03-03-2025,PCCOEEC41291,QUANTITATIVE APTITUDE FOR COMPETITIVE EXAMINITIONS FULLY SOLVED AND UPDATED.,"AGGARWAL, R.S.",809,S. CHAND & COMPANY PVT. LTD.,NEW DELHI,2025,GENERAL,799,28,575.28,HSB
28,10-01-2006,PCCOEEC09018,QUANTITATIVE APTITUDE : FOR COMPETITIVE EXAMINITIONS.,"AGGARWAL, R.S.",726,S. CHAND AND COMPANY,NEW DELHI,2001,GENERAL,290,20,232,HSB
29,20-01-2006,PCCOEEC09044,QUANTITATIVE APTITUDE : FOR COMPETITIVE EXAMINITIONS.,"AGGARWAL, R.S.",539,S. CHAND AND COMPANY,NEW DELHI,,GENERAL,290,20,232,HSB
30,16-11-2011,PCCOEEC19924,A MODERN APPROACH TO LOGICAL REASONING ( FULLY SOLVED ),"AGGARWAL, R.S.",224,S. CHAND AND COMPANY,NEW DELHI,,GENERAL,140,25,105,HSB
31,16-11-2011,PCCOEEC19925,A MODERN APPROACH TO LOGICAL REASONING ( FULLY SOLVED ),"AGGARWAL, R.S.",224,S. CHAND AND COMPANY,NEW DELHI,,GENERAL,140,25,105,HSB
32,16-11-2011,PCCOEEC19926,A MODERN APPROACH TO LOGICAL REASONING ( FULLY SOLVED ),"AGGARWAL, R.S.",224,S. CHAND AND COMPANY,NEW DELHI,,GENERAL,140,25,105,HSB
33,16-11-2011,PCCOEEC19927,A MODERN APPROACH TO LOGICAL REASONING ( FULLY SOLVED ),"AGGARWAL, R.S.",224,S. CHAND AND COMPANY,NEW DELHI,,GENERAL,140,25,105,HSB
34,16-11-2011,PCCOEEC19928,A MODERN APPROACH TO LOGICAL REASONING ( FULLY SOLVED ),"AGGARWAL, R.S.",224,S. CHAND AND COMPANY,NEW DELHI,,GENERAL,140,25,105,HSB
35,16-10-2007,PCCOEEC10752,A MODERN APPROACH TO VERBAL REASONING.,"AGGARWAL, R.S.",158,S. CHAND AND COMPANY,NEW DELHI,,GENERAL,320,23,246,HSB
36,16-10-2007,PCCOEEC10753,A MODERN APPROACH TO VERBAL AND NON - VERBAL REASONING.,"AGGARWAL, R.S.",431,S. CHAND AND COMPANY,NEW DELHI,,GENERAL,515,23,397,HSB
37,16-10-2007,PCCOEEC10754,"OBJECTIVE GENERAL ENGLISH 10,000 PLUS QUESTIONS.","AGGARWAL, R.S.",652,S. CHAND AND COMPANY,NEW DELHI,,GENERAL,395,23,304,GBK
38,16-10-2007,PCCOEEC10755,A MODERN APPROACH NON - VERBAL REASONING ( FULLY SOLVED ),"AGGARWAL, R.S.",431,S. CHAND AND COMPANY,NEW DELHI,,GENERAL,200,23,154,HSB
39,16-10-2007,PCCOEEC10759,A MODERN APPROACH TO LOGICAL REASONING ( FULLY SOLVED ),"AGGARWAL, R.S.",158,S. CHAND AND COMPANY,NEW DELHI,,GENERAL,90,23,69,HSB
40,20-01-2006,PCCOEEC09045,QUANTITATIVE APTITUDE : FOR COMPETITIVE EXAMINITIONS.,"AGGARWAL, R.S.",539,S. CHAND AND COMPANY,NEW DELHI,,GENERAL,290,20,232,HSB
41,11-05-2007,PCCOEEC10063,QUANTITATIVE APTITUDE : FOR COMPETITIVE EXAMINITIONS.,"AGGARWAL, R.S.",539,S. CHAND AND COMPANY,NEW DELHI,,GENERAL,345,22,269.1,HSB
42,11-05-2007,PCCOEEC10064,QUANTITATIVE APTITUDE : FOR COMPETITIVE EXAMINITIONS.,"AGGARWAL, R.S.",539,S. CHAND AND COMPANY,NEW DELHI,,GENERAL,345,22,269.1,HSB
43,11-05-2007,PCCOEEC10065,QUANTITATIVE APTITUDE : FOR COMPETITIVE EXAMINITIONS.,"AGGARWAL, R.S.",539,S. CHAND AND COMPANY,NEW DELHI,,GENERAL,345,22,269.1,HSB
44,11-05-2007,PCCOEEC10066,QUANTITATIVE APTITUDE : FOR COMPETITIVE EXAMINITIONS.,"AGGARWAL, R.S.",539,S. CHAND AND COMPANY,NEW DELHI,,GENERAL,345,22,269.1,HSB
45,11-05-2007,PCCOEEC10067,QUANTITATIVE APTITUDE : FOR COMPETITIVE EXAMINITIONS.,"AGGARWAL, R.S.",539,S. CHAND AND COMPANY,NEW DELHI,,GENERAL,345,22,269.1,HSB
46,16-10-2007,PCCOEEC10760,QUANTITATIVE APTITUDE : FOR COMPETITIVE EXAMINITIONS.,"AGGARWAL, R.S.",539,S. CHAND AND COMPANY,NEW DELHI,,GENERAL,380,23,292.6,HSB
47,15-11-2010,PCCOEEC17657,QUANTITATIVE APTITUDE : FOR COMPETITIVE EXAMINITIONS.,"AGGARWAL, R.S.",726,S. CHAND AND COMPANY,NEW DELHI,,GENERAL,415,25,311.25,HSB
48,15-11-2010,PCCOEEC17658,QUANTITATIVE APTITUDE : FOR COMPETITIVE EXAMINITIONS.,"AGGARWAL, R.S.",726,S. CHAND AND COMPANY,NEW DELHI,,GENERAL,415,25,311.25,HSB
49,15-11-2010,PCCOEEC17659,QUANTITATIVE APTITUDE : FOR COMPETITIVE EXAMINITIONS.,"AGGARWAL, R.S.",726,S. CHAND AND COMPANY,NEW DELHI,,GENERAL,415,25,311.25,HSB
50,15-11-2010,PCCOEEC17660,QUANTITATIVE APTITUDE : FOR COMPETITIVE EXAMINITIONS.,"AGGARWAL, R.S.",726,S. CHAND AND COMPANY,NEW DELHI,,GENERAL,415,25,311.25,HSB
51,15-11-2010,PCCOEEC17661,QUANTITATIVE APTITUDE : FOR COMPETITIVE EXAMINITIONS.,"AGGARWAL, R.S.",726,S. CHAND AND COMPANY,NEW DELHI,,GENERAL,415,25,311.25,HSB
52,02-04-2002,PCCOEEC04543,WEBSTERS NEW WORLD COLLEGE DICTIONARY.,"AGNES, MICHAEL",1716,IDG BOOKS INDIA LTD.,,2000,GENERAL,399,20,319,GBK
53,04-12-2015,PCCOEEC32007,OBJECTIVE TYPE AND CONVENTIONAL QUESTIONS AND ANSWERS ON CIVIL ENGINEERING FOR ALL TYPES OF EXAMINAT,AGOR R.,452,KHANNA BOOK PUBLICATION,DELHI,2015,GENERAL,595,20,476,HSB
54,26-04-2025,PCCOEEC41615,LEADERS IN THE MAKING THE CRUCIBLES OF CHANGE MAKERS IN HR.,"AGRAWAL, ARVIND",462,PENGUIN RANDOM HOUSE INDIA,HARYANA,2022,GENERAL,0,,0,DBK
55,09-07-2001,PCCOEEC01327,MCM / MIB ENTRANCE EXAMINATION.,"AGRAWAL, CHSNDRESH",,BHAVANI PUBLICATION,NEW DELHI,,GENERAL,230,15,196,HSB
56,06-01-2023,PCCOEEC37285,A BRIEF HISTORY OF MODERN INDIA.,"AHIR, RAJIV",968,SPECTRUM BOOKS (P) LTD. ,NEW DELHI,2022,GENERAL,565,25,423.75,HSB
57,06-01-2023,PCCOEEC37286,A BRIEF HISTORY OF MODERN INDIA.,"AHIR, RAJIV",968,SPECTRUM BOOKS (P) LTD. ,NEW DELHI,2022,GENERAL,565,25,423.75,HSB
58,13-11-2007,PCCOEEC11130,DIFFERNTIAL EQUATIONS AND THEIR APPLICATIONS.,"AHSAN, ZAFAR.",514,PRENTICE- HALL OF INDIA,NEW DELHI,,GENERAL,295,22,230,GBK
59,09-09-2012,PCCOEEC22220,SOCIAL PROBLEMS IN INDIA.,"AHUJA, RAM",507,RAWATN PUBLICATION,JAIPUR,,GENERAL,215,21,170,HSB
60,09-09-2012,PCCOEEC22221,SOCIAL PROBLEMS IN INDIA.,"AHUJA, RAM",507,RAWATN PUBLICATION,JAIPUR,,GENERAL,215,21,170,HSB
61,27-02-2006,PCCOEEC09178,AICTE.,AICTE,,2005,,,GENERAL,,,,DBK
62,20-06-2001,PCCOEEC01324,Norms and standards,AICTE,317,AICTE,,1999,GENERAL,150,,150,GBK
63,20-06-2001,PCCOEEC01325,Norms and standards,AICTE,317,AICTE,,1999,GENERAL,150,,150,GBK
64,22-11-2002,PCCOEEC05512,AIDA PRESS HANDBOOK.,"AIDA, KEINOSUKE",,AIDA ENGINEERING,,,GENERAL,,,,DBK
65,09-01-2006,PCCOEEC09006,THROUGH THE CORRIDORS OF POWER : AN INSIDERS STORY,"ALEXANDER, P.C.",480,HARPER COLLINS PUBLICATION,,,GENERAL,500,20,400,GBK
66,08-02-2003,PCCOEEC06315,How to be successful at work,"ALLCOCK ,DEBRA",120,JAICO PUBLISHING HOUSE.,,1995,GENERAL,90,20,72,GBK
67,21-02-2025,PCCOEEC41215,NOVEL SYNTHESIS AND CHARACTERIZATION OF NANOSTRUCTURED MATERIALS.,"ALVES, ANNELISE KOPP.",85,SPRINGER,,2013,GENERAL,9319.07,28,6709.73,REF
68,20-02-2020,PCCOEEC35384,RAW BHARTIYA GUPTACHARSANSTHECHI GOODGATHA.,"AMALE, RAVI",293,MANOVIKAS PRAKASHN,PUNE,2020,GENERAL,299,20,239.2,GBK
69,20-02-2020,PCCOEEC35387,PROPGANDA PRACHAR JAHIRAT APMAHITI AANI BARECH KAHI...,"AMALE, RAVI",380,MANOVIKAS PRAKASHN,PUNE,2020,GENERAL,400,20,320,GBK
70,20-02-2020,PCCOEEC35385,RAW BHARTIYA GUPTACHARSANSTHECHI GOODGATHA.,"AMALE, RAVI",293,MANOVIKAS PRAKASHN,PUNE,2020,GENERAL,299,20,239.2,GBK
71,20-02-2020,PCCOEEC35386,RAW BHARTIYA GUPTACHARSANSTHECHI GOODGATHA.,"AMALE, RAVI",293,MANOVIKAS PRAKASHN,PUNE,2020,GENERAL,299,20,239.2,GBK
72,20-02-2020,PCCOEEC35388,PROPGANDA PRACHAR JAHIRAT APMAHITI AANI BARECH KAHI...,"AMALE, RAVI",380,MANOVIKAS PRAKASHN,PUNE,2020,GENERAL,400,20,320,GBK
73,20-02-2020,PCCOEEC35389,PROPGANDA PRACHAR JAHIRAT APMAHITI AANI BARECH KAHI...,"AMALE, RAVI",380,MANOVIKAS PRAKASHN,PUNE,2020,GENERAL,400,20,320,GBK
74,17-03-2003,PCCOEEC07190,How things work,"AMERONGEN,C VAN",590,HARPER COLLINS PUBLICATION,,1992,GENERAL,295,20,236,GBK
75,17-03-2003,PCCOEEC07189,How things work,"AMERONGEN,C VAN",590,HARPER COLLINS PUBLICATION,,1992,GENERAL,295,20,236,GBK
76,15-01-2013,PCCOEEC23992,SAMIDHA,"AMTE, SADHANA",185,POPULAR PRAK.,BOMBAY,,GENERAL,225,25,169,GBK
77,08-03-2006,PCCOEEC09400,SAMIDHA,"AMTE, SADHANA",185,POPULAR PRAKASHAN,MUMBAI,,GENERAL,200,20,160,GBK
78,12-09-2018,PCCOEEC34592,JOB READINESS FOR IT AND ITES A PLACEMENT AND CAREER COMPANION.,"ANAD, R.",176,MCGRAW HILL EDUCATION (INDIA ) PVT. LTD.,NEW DELHI,2016,GENERAL,425,25,318.75,HSB
79,12-09-2018,PCCOEEC34593,JOB READINESS FOR IT AND ITES A PLACEMENT AND CAREER COMPANION.,"ANAD, R.",176,MCGRAW HILL EDUCATION (INDIA ) PVT. LTD.,NEW DELHI,2016,GENERAL,425,25,318.75,HSB
80,12-09-2018,PCCOEEC34594,JOB READINESS FOR IT AND ITES A PLACEMENT AND CAREER COMPANION.,"ANAD, R.",176,MCGRAW HILL EDUCATION (INDIA ) PVT. LTD.,NEW DELHI,2016,GENERAL,425,25,318.75,HSB
81,12-09-2018,PCCOEEC34595,JOB READINESS FOR IT AND ITES A PLACEMENT AND CAREER COMPANION.,"ANAD, R.",176,MCGRAW HILL EDUCATION (INDIA ) PVT. LTD.,NEW DELHI,2016,GENERAL,425,25,318.75,HSB
82,12-09-2018,PCCOEEC34596,JOB READINESS FOR IT AND ITES A PLACEMENT AND CAREER COMPANION.,"ANAD, R.",176,MCGRAW HILL EDUCATION (INDIA ) PVT. LTD.,NEW DELHI,2016,GENERAL,425,25,318.75,HSB
83,12-09-2018,PCCOEEC34597,JOB READINESS FOR IT AND ITES A PLACEMENT AND CAREER COMPANION.,"ANAD, R.",176,MCGRAW HILL EDUCATION (INDIA ) PVT. LTD.,NEW DELHI,2016,GENERAL,425,25,318.75,HSB
84,12-09-2018,PCCOEEC34598,JOB READINESS FOR IT AND ITES A PLACEMENT AND CAREER COMPANION.,"ANAD, R.",176,MCGRAW HILL EDUCATION (INDIA ) PVT. LTD.,NEW DELHI,2016,GENERAL,425,25,318.75,HSB
85,12-09-2018,PCCOEEC34599,JOB READINESS FOR IT AND ITES A PLACEMENT AND CAREER COMPANION.,"ANAD, R.",176,MCGRAW HILL EDUCATION (INDIA ) PVT. LTD.,NEW DELHI,2016,GENERAL,425,25,318.75,HSB
86,12-09-2018,PCCOEEC34600,JOB READINESS FOR IT AND ITES A PLACEMENT AND CAREER COMPANION.,"ANAD, R.",176,MCGRAW HILL EDUCATION (INDIA ) PVT. LTD.,NEW DELHI,2016,GENERAL,425,25,318.75,HSB
87,12-09-2018,PCCOEEC34591,JOB READINESS FOR IT AND ITES A PLACEMENT AND CAREER COMPANION.,"ANAD, R.",176,MCGRAW HILL EDUCATION (INDIA ) PVT. LTD.,NEW DELHI,2016,GENERAL,425,25,318.75,HSB
88,12-09-2018,PCCOEEC34601,PLACEMENT INTERVIEWS SKILLS FOR SUCCESS.,"ANANDAMURUGAN, S.",266,MCGRAW HILL EDUCATION (INDIA ) PVT. LTD.,NEW DELHI,2017,GENERAL,550,25,412.5,HSB
89,12-09-2018,PCCOEEC34602,PLACEMENT INTERVIEWS SKILLS FOR SUCCESS.,"ANANDAMURUGAN, S.",266,MCGRAW HILL EDUCATION (INDIA ) PVT. LTD.,NEW DELHI,2017,GENERAL,550,25,412.5,HSB
90,12-09-2018,PCCOEEC34603,PLACEMENT INTERVIEWS SKILLS FOR SUCCESS.,"ANANDAMURUGAN, S.",266,MCGRAW HILL EDUCATION (INDIA ) PVT. LTD.,NEW DELHI,2017,GENERAL,550,25,412.5,HSB
91,12-09-2018,PCCOEEC34604,PLACEMENT INTERVIEWS SKILLS FOR SUCCESS.,"ANANDAMURUGAN, S.",266,MCGRAW HILL EDUCATION (INDIA ) PVT. LTD.,NEW DELHI,2017,GENERAL,550,25,412.5,HSB
92,12-09-2018,PCCOEEC34605,PLACEMENT INTERVIEWS SKILLS FOR SUCCESS.,"ANANDAMURUGAN, S.",266,MCGRAW HILL EDUCATION (INDIA ) PVT. LTD.,NEW DELHI,2017,GENERAL,550,25,412.5,HSB
93,12-09-2018,PCCOEEC34606,PLACEMENT INTERVIEWS SKILLS FOR SUCCESS.,"ANANDAMURUGAN, S.",266,MCGRAW HILL EDUCATION (INDIA ) PVT. LTD.,NEW DELHI,2017,GENERAL,550,25,412.5,HSB
94,12-09-2018,PCCOEEC34607,PLACEMENT INTERVIEWS SKILLS FOR SUCCESS.,"ANANDAMURUGAN, S.",266,MCGRAW HILL EDUCATION (INDIA ) PVT. LTD.,NEW DELHI,2017,GENERAL,550,25,412.5,HSB
95,12-09-2018,PCCOEEC34608,PLACEMENT INTERVIEWS SKILLS FOR SUCCESS.,"ANANDAMURUGAN, S.",266,MCGRAW HILL EDUCATION (INDIA ) PVT. LTD.,NEW DELHI,2017,GENERAL,550,25,412.5,HSB
96,12-09-2018,PCCOEEC34609,PLACEMENT INTERVIEWS SKILLS FOR SUCCESS.,"ANANDAMURUGAN, S.",266,MCGRAW HILL EDUCATION (INDIA ) PVT. LTD.,NEW DELHI,2017,GENERAL,550,25,412.5,HSB
97,12-09-2018,PCCOEEC34610,PLACEMENT INTERVIEWS SKILLS FOR SUCCESS.,"ANANDAMURUGAN, S.",266,MCGRAW HILL EDUCATION (INDIA ) PVT. LTD.,NEW DELHI,2017,GENERAL,550,25,412.5,HSB
98,12-11-2002,PCCOEEC05280,Sangh aani sanghparivar,"ANDERSON ,WALTER",451,GANRAJ PRAKASHAN,,1998,GENERAL,,,,DBK
99,08-10-2007,PCCOEEC10599,COACHING THAT COUNTS.,"ANDERSON, DIANNA.",285,BUTTERWORTH,NEW YORK,,GENERAL,395,23,304,GBK
100,15-11-2010,PCCOEEC17534,HOW TO SUCCEED AT INTERVIEWS.,"ANDREWS, SUDHIR",179,TATA MCGRAW-HILL PUB. CO. LTD.,NEW DELHI,,GENERAL,150,25,113,GBK
101,15-11-2010,PCCOEEC17535,HOW TO SUCCEED AT INTERVIEWS.,"ANDREWS, SUDHIR",179,TATA MCGRAW-HILL PUB. CO. LTD.,NEW DELHI,,GENERAL,150,25,113,GBK
102,04-02-2006,PCCOEEC09111,RATNKIL,"ANTRKAR, ANAND",248,VISHAVMOHINI,PUNE,,GENERAL,200,20,160,GBK
103,28-01-2016,PCCOEEC32242,GATE MENTOR 2016 : CIVIL ENGINEERING.,"ANUBUKUMAR, S.",899,CENGAGE LEARNING PVT. LTD.,NEW DELHI,2015,GENERAL,899,20,719.2,HSB
104,12-11-2002,PCCOEEC05279,Bkhar ayodhechi,"APHALE ,GIRISH",312,BHARTIYA VICHAR SADHANA,,2002,GENERAL,,,,DBK
105,08-03-2006,PCCOEEC09391,MAZYA SWAPNATLI BHARAT.,APJ ABDUL KALAM,255,CHINAR PUBLISHING,PUNE,,GENERAL,195,20,156,GBK
106,22-10-2007,PCCOEEC10781,INDOMITABLE SPIRIT.,APJ ABDUL KALAM,254,RAJPAL AND SONS,DELHI,,GENERAL,350,23,270,GBK
107,13-11-2007,PCCOEEC11127,INDOMITABLE SPIRIT.,APJ ABDUL KALAM,254,RAJPAL AND SONS,DELHI,,GENERAL,350,22,273,GBK
108,13-11-2007,PCCOEEC11128,INDOMITABLE SPIRIT.,APJ ABDUL KALAM,254,RAJPAL AND SONS,DELHI,,GENERAL,350,22,273,GBK
109,26-11-2008,PCCOEEC11577,INDOMITABLE SPIRIT.,APJ ABDUL KALAM,254,RAJPAL AND SONS,DELHI,,GENERAL,350,22,273,GBK
110,15-11-2010,PCCOEEC17591,IGNITED MINDS.,APJ ABDUL KALAM,206,PENGUIN BOOKS INDIA LTD,NEW DELHI,,GENERAL,150,25,113,GBK
111,15-11-2010,PCCOEEC17590,IGNITED MINDS.,APJ ABDUL KALAM,206,PENGUIN BOOKS INDIA LTD,NEW DELHI,,GENERAL,150,25,113,GBK
112,15-01-2013,PCCOEEC24047,VISHWAT AAPAN EKTECH AHOT KAY?,"APTE, MOHAN",135,RAJHANS PRAKASHAN,PUNE,,GENERAL,110,30,77,GBK
113,15-01-2013,PCCOEEC24048,VISHWAT AAPAN EKTECH AHOT KAY?,"APTE, MOHAN",135,RAJHANS PRAKASHAN,PUNE,,GENERAL,110,30,77,GBK
114,15-01-2013,PCCOEEC24049,VISHWAT AAPAN EKTECH AHOT KAY?,"APTE, MOHAN",135,RAJHANS PRAKASHAN,PUNE,,GENERAL,110,30,77,GBK
115,10-01-2013,PCCOEEC23905,MALA UTTAR HAVAY : PRUTHVIVIDNYAN.,"APTE, MOHAN",265,RAJHANS PRAKASHAN,PUNE,,GENERAL,200,30,140,GBK
116,10-01-2013,PCCOEEC23906,YALA JEEVAN YIASE NAV,"APTE, MOHAN",212,RAJHANS PRAKASHAN,PUNE,,GENERAL,200,30,140,GBK
117,10-01-2013,PCCOEEC23914,MALA UTTAR HAVAY : PRAYAVARN.,"APTE, MOHAN",228,RAJHANS PRAKASHAN,PUNE,,GENERAL,200,30,140,GBK
118,10-01-2013,PCCOEEC23915,MALA UTTAR HAVAY : SAPEKSHATA.,"APTE, MOHAN",151,RAJHANS PRAKASHAN,PUNE,,GENERAL,200,30,140,GBK
119,10-01-2013,PCCOEEC23916,VIDNYAN VEDHA.,"APTE, MOHAN",158,RAJHANS PRAKASHAN,PUNE,,GENERAL,140,30,98,GBK
120,10-01-2013,PCCOEEC23917,MALA UTTAR HAVAY : GANIT BHAG 1.,"APTE, MOHAN",169,RAJHANS PRAKASHAN,PUNE,,GENERAL,200,30,140,GBK
121,10-01-2013,PCCOEEC23918,MALA UTTAR HAVAY : GANIT BHAG 2.,"APTE, MOHAN",152,RAJHANS PRAKASHAN,PUNE,,GENERAL,200,30,140,GBK
122,10-01-2013,PCCOEEC23919,VISHWAT AAPAN EKTECH AHOT KAY?,"APTE, MOHAN",135,RAJHANS PRAKASHAN,PUNE,,GENERAL,110,30,77,GBK
123,10-01-2013,PCCOEEC23920,MALA UTTAR HAVAY : ANUSHAKTI.,"APTE, MOHAN",220,RAJHANS PRAKASHAN,PUNE,,GENERAL,200,30,140,GBK
124,10-01-2013,PCCOEEC23921,MALA UTTAR HAVAY : PADARTHVIDNYAN.,"APTE, MOHAN",238,RAJHANS PRAKASHAN,PUNE,,GENERAL,200,30,140,GBK
125,10-01-2013,PCCOEEC23922,MALA UTTAR HAVAY : KHAGOLSHASTRA.,"APTE, MOHAN",233,RAJHANS PRAKASHAN,PUNE,,GENERAL,200,30,140,GBK
126,10-01-2013,PCCOEEC23923,MALA UTTAR HAVAY : AVKASH.,"APTE, MOHAN",218,RAJHANS PRAKASHAN,PUNE,,GENERAL,200,30,140,GBK
127,14-01-2013,PCCOEEC23963,SANKHYANCHE GAHIRE RANG.,"APTE, MOHAN",133,RAJHANS PRAKASHAN,PUNE,,GENERAL,120,30,84,GBK
128,16-01-2013,PCCOEEC24139,VIDNYAN VEDHA.,"APTE, MOHAN",158,RAJHANS PRAKASHAN,PUNE,,GENERAL,140,30,98,GBK
129,16-01-2013,PCCOEEC24140,VIDNYAN VEDHA.,"APTE, MOHAN",158,RAJHANS PRAKASHAN,PUNE,,GENERAL,140,30,98,GBK
130,16-01-2013,PCCOEEC24141,VIDNYAN VEDHA.,"APTE, MOHAN",158,RAJHANS PRAKASHAN,PUNE,,GENERAL,140,30,98,GBK
131,28-10-2013,PCCOEEC26650,POLITICAL SCIENCE : FOR STATE CIVIL SERVICES AND OTHER COMPETITIVE EXAMINATIONS.,"ARORA, N. D.",,TATA MCGRAW-HILL PUB. CO. LTD.,NEW DELHI,,GENERAL,550,20,440,HSB
132,28-10-2013,PCCOEEC26651,POLITICAL SCIENCE : FOR CIVIL SERVICES MAIN EXAMINATION.,"ARORA, N. D.",48,TATA MCGRAW-HILL PUB. CO. LTD.,NEW DELHI,,GENERAL,595,20,476,HSB
